iter	MAE
0	0.9511794554
1	0.9116346736
2	0.8796387309
3	0.8459139288
4	0.8196781937
5	0.791015365
6	0.76213911
7	0.7364261328
8	0.7144179766
9	0.6888610619
10	0.6678855371
11	0.6472936962
12	0.6259610251
13	0.6031675288
14	0.5875158747
15	0.5696770014
16	0.5563570375
17	0.5381314456
18	0.5204566553
19	0.5064070034
20	0.4948956007
21	0.4848328802
22	0.4713456701
23	0.4570415251
24	0.4420884695
25	0.4313815989
26	0.4213319415
27	0.4145925756
28	0.4040131066
29	0.3932500784
30	0.3867329218
31	0.3819304206
32	0.3716402564
33	0.3618713476
34	0.3534241523
35	0.3436400314
36	0.3361207018
37	0.3290259241
38	0.3234124983
39	0.3173092573
40	0.3120785639
41	0.3074341672
42	0.3027775013
43	0.2975398615
44	0.2908373403
45	0.2880904658
46	0.2815997498
47	0.2760939513
48	0.2715443075
49	0.2665814727
50	0.2605854998
51	0.25522134
52	0.2508039811
53	0.2468444265
54	0.241861823
55	0.2381222845
56	0.2369977651
57	0.2332376234
58	0.2312442537
59	0.2298390785
60	0.2271031151
61	0.2247580461
62	0.2208434801
63	0.2183739356
64	0.215725568
65	0.2126091431
66	0.2116756162
67	0.2073797837
68	0.2049916141
69	0.2030041016
70	0.2023928604
71	0.1989238665
72	0.1971304179
73	0.1943801804
74	0.1935621846
75	0.1920231552
76	0.18936182
77	0.1862993731
78	0.1829479411
79	0.1798460132
80	0.176952946
81	0.1731099825
82	0.1718260445
83	0.1682249731
84	0.1650533141
85	0.1634748553
86	0.1593228332
87	0.1570245177
88	0.1557191725
89	0.1545492359
90	0.1537271124
91	0.1494647578
92	0.148762974
93	0.147043065
94	0.1459115551
95	0.1452066645
96	0.1429618893
97	0.1414888283
98	0.1398078348
99	0.1376240002
100	0.1356146066
101	0.1311111031
102	0.1296959419
103	0.128297581
104	0.1276652224
105	0.1253271639
106	0.1238687851
107	0.1214411987
108	0.118689605
109	0.1176077968
110	0.116579689
111	0.1155282044
112	0.1141136171
113	0.1111334549
114	0.1105947075
115	0.1087220677
116	0.1081094308
117	0.1056516507
118	0.1041954314
119	0.1032836679
120	0.1010893161
121	0.09989829184
122	0.09786908562
123	0.09713742774
124	0.09512681621
125	0.09327791006
126	0.09221003079
127	0.09080887012
128	0.08785935909
129	0.08665187326
130	0.08560407093
131	0.08426194357
132	0.08142156571
133	0.0807388071
134	0.0797193204
135	0.07858449686
136	0.07773921365
137	0.07551115884
138	0.07451672081
139	0.07390185205
140	0.0732533953
141	0.0709565689
142	0.07044161731
143	0.06995843447
144	0.06948303979
145	0.06914617286
146	0.06843945963
147	0.06773668888
148	0.06749457545
149	0.06600714767
150	0.06389035279
151	0.06290842145
152	0.06229260409
153	0.06062903292
154	0.058654843
155	0.05813347388
156	0.05659561516
157	0.05552703436
158	0.05527064871
159	0.05494755181
160	0.05466868758
161	0.05305354538
162	0.05161118778
163	0.05015137513
164	0.04968074197
165	0.04832887955
166	0.04765710522
167	0.047251638
168	0.04682640344
169	0.04664448747
170	0.04535465655
171	0.0441293172
172	0.04300164007
173	0.04189009017
174	0.04148283202
175	0.04114074034
176	0.04067221771
177	0.03998106561
178	0.03939744938
179	0.0384854381
180	0.037626968
181	0.03725389522
182	0.0366125453
183	0.03640661553
184	0.03541097563
185	0.03446511776
186	0.03356655275
187	0.03271321153
188	0.03235480009
189	0.03196139665
190	0.03182129821
191	0.03123427031
192	0.03102880766
193	0.03050660143
194	0.02999392168
195	0.02991648155
196	0.02926671594
197	0.02864606474
198	0.02806054466
199	0.02747659608
200	0.02719293997
201	0.02674529953
202	0.02645645491
203	0.02632153233
204	0.02566351237
205	0.02544880515
206	0.02476566219
207	0.02447306153
208	0.02424986855
209	0.02416381149
210	0.02353993646
211	0.02333066891
212	0.02317494885
213	0.02304493607
214	0.02292142392
215	0.02280408738
216	0.02269261766
217	0.02258678844
218	0.02242918448
219	0.02226375347
220	0.0221412323
221	0.02162784689
222	0.02137802564
223	0.02118893593
224	0.02112764999
225	0.02101800531
226	0.0208687875
227	0.02079889755
228	0.02042483328
229	0.02030658495
230	0.02024516008
231	0.01984572801
232	0.01935703796
233	0.01927789871
234	0.01906392182
235	0.01886304005
236	0.01852434736
237	0.01820258929
238	0.01790013088
239	0.01761247225
240	0.01747342996
241	0.01710779173
242	0.01676043541
243	0.01643044691
244	0.01611866295
245	0.01592739848
246	0.01586168858
247	0.01580496401
248	0.01549511923
249	0.01530919236
250	0.01522175347
251	0.01508039186
252	0.01499626865
253	0.01492328083
254	0.01486874357
255	0.01476574601
256	0.01468037401
257	0.01450094158
258	0.01446032474
259	0.01427774234
260	0.014147687
261	0.01402561148
262	0.01391510426
263	0.01384016163
264	0.01372858803
265	0.01355248328
266	0.01331983166
267	0.01309881262
268	0.01288884454
269	0.01268937486
270	0.01250007178
271	0.01233982402
272	0.01220712887
273	0.011987274
274	0.01163526442
275	0.01161712335
276	0.01154061065
277	0.01152482635
278	0.01150795836
279	0.01144132432
280	0.01138661466
281	0.01134985436
282	0.01107855719
283	0.0109928532
284	0.01090825665
285	0.01082788993
286	0.01075216963
287	0.01058445441
288	0.01055988638
289	0.01042158959
290	0.01038529308
291	0.01032385806
292	0.01028139008
293	0.01021450052
294	0.01015095544
295	0.01009058761
296	0.01003278212
297	0.009927766021
298	0.009828000829
299	0.009780569708
300	0.009685504174
301	0.009586210831
302	0.0095457665
303	0.009469066008
304	0.009358382626
305	0.009242631149
306	0.009132667246
307	0.009028201542
308	0.008929019888
309	0.008866859399
310	0.008830136949
311	0.008802385705
312	0.008748083363
313	0.008713470697
314	0.008675319597
315	0.008653141514
316	0.008624437553
317	0.008522537921
318	0.008488855923
319	0.008404663573
320	0.008332731107
321	0.00826466021
322	0.008199379315
323	0.008138841272
324	0.007905111063
325	0.007872542786
326	0.00784451264
327	0.007817925187
328	0.007811346906
329	0.007788910879
330	0.007729266127
331	0.007712361482
332	0.007682595986
333	0.007655829742
334	0.007644777088
335	0.007633679004
336	0.007607949465
337	0.007548462111
338	0.007521089007
339	0.00743840584
340	0.00741743174
341	0.007347863132
342	0.007335617329
343	0.007266207988
344	0.007233835713
345	0.007203975309
346	0.007171775529
347	0.007141790522
348	0.007134487847
349	0.00708636798
350	0.007044223324
351	0.007037904721
352	0.007007757451
353	0.007000717809
354	0.006985815321
355	0.006954479662
356	0.006912697794
357	0.006873023413
358	0.006828491752
359	0.006786825811
360	0.006758334858
361	0.006707004704
362	0.006671748004
363	0.006634156185
364	0.006598842658
365	0.006566371289
366	0.006534147756
367	0.006501569545
368	0.006472868823
369	0.006454218379
370	0.006422259801
371	0.006398395591
372	0.006371441435
373	0.006351855105
374	0.006324111143
375	0.00630954416
376	0.006281663183
377	0.006057877385
378	0.006027109498
379	0.006005120736
380	0.005963641074
381	0.005944558941
382	0.005931924115
383	0.00590203685
384	0.005898805685
385	0.005892331657
386	0.005889335737
387	0.005879630316
388	0.00566607553
389	0.005623237081
390	0.005583318085
391	0.005574731325
392	0.005525543555
393	0.005476250616
394	0.005441650905
395	0.00542618249
396	0.00541214761
397	0.005397187311
398	0.005193177247
399	0.004999369476
400	0.004815289125
401	0.00465641588
402	0.004640356916
403	0.004619964531
404	0.004600592632
405	0.004563125382
406	0.004520202495
407	0.004495280514
408	0.004488229051
409	0.00434823241
410	0.004337113646
411	0.004326650233
412	0.004311265179
413	0.004301609847
414	0.004265169042
415	0.004197363716
416	0.004062281464
417	0.00393529161
418	0.003814653868
419	0.003703853243
420	0.003598592642
421	0.003498627731
422	0.003493357488
423	0.003436725319
424	0.003429339822
425	0.00342420294
426	0.003412401019
427	0.003401243336
428	0.003393832238
429	0.003383454007
430	0.003375269741
431	0.003365899125
432	0.003358862837
433	0.003337299027
434	0.003322764184
435	0.003308957022
436	0.003264135132
437	0.0032215554
438	0.003180427558
439	0.003175081607
440	0.00307835633
441	0.003073464475
442	0.00298301149
443	0.002897099342
444	0.002815579948
445	0.002734115222
446	0.002657417503
447	0.002548425709
448	0.00254459012
449	0.002537702424
450	0.002531875482
451	0.00253021426
452	0.002457258803
453	0.002435413686
454	0.002428880631
455	0.002425911819
456	0.002419047496
457	0.002412320993
458	0.002407741283
459	0.002403400239
460	0.002337901699
461	0.002269978816
462	0.00220547373
463	0.00219825715
464	0.002196870018
465	0.002195612042
466	0.002174834814
467	0.002173658218
468	0.002172542071
469	0.002109588768
470	0.002051799462
471	0.002044996511
472	0.00199177054
473	0.001943944778
474	0.001894668166
475	0.001847855607
476	0.001846496628
477	0.001845817485
478	0.001844051775
479	0.001842537802
480	0.001825487927
481	0.001786030582
482	0.001767170122
483	0.001749258405
484	0.001743655103
485	0.001741083491
486	0.0016975003
487	0.001694283989
488	0.001691948511
489	0.001627507762
490	0.001625295456
491	0.001624026344
492	0.001585898409
493	0.001549696764
494	0.001492461176
495	0.001437544112
496	0.001406210284
497	0.001376446032
498	0.001371587223
499	0.001368986079
500	0.00136472611
501	0.001337130424
502	0.001336481813
503	0.00133540416
504	0.001330247118
505	0.001327422135
506	0.001325483869
507	0.001296910471
508	0.001280800902
509	0.001278174651
510	0.001254720736
511	0.001254007319
512	0.001253356064
513	0.001249903217
514	0.001248943217
515	0.001248032351
516	0.00124717341
517	0.001245223914
518	0.001243266805
519	0.001241210912
520	0.001239258858
521	0.001237674628
522	0.001235919868
523	0.001234647434
524	0.001234355175
525	0.001234074742
526	0.001232520654
527	0.001231426791
528	0.0012303889
529	0.001229403447
530	0.001228460317
531	0.001228289944
532	0.001228174935
533	0.001215965816
534	0.001212768124
535	0.001209740076
536	0.00120827582
537	0.001206894592
538	0.001194884762
539	0.001170541761
540	0.001157847682
541	0.001157507216
542	0.001153820216
543	0.001152335283
544	0.001151734078
545	0.001150783932
546	0.001149743924
547	0.001148776759
548	0.001148275802
549	0.001136716121
550	0.001125734424
551	0.001115301813
552	0.0011053909
553	0.001095977871
554	0.001086918538
555	0.001086079696
556	0.001064460736
557	0.00105552359
558	0.001054417221
559	0.001053300785
560	0.001051731264
561	0.00105082851
562	0.001050156781
563	0.001049739948
564	0.001049105443
565	0.001048505723
566	0.001046063728
567	0.00104377732
568	0.001043156552
569	0.001022790401
570	0.001003724987
571	0.0009853284647
572	0.0009849351951
573	0.0009839388502
574	0.0009838513972
575	0.000982447583
576	0.0009806281959
577	0.0009795475503
578	0.0009781199671
579	0.0009768065421
580	0.0009579547413
581	0.0009569368355
582	0.0009558398323
583	0.0009479261091
584	0.0009399027615
585	0.0009306730915
586	0.0009305447069
587	0.0009297176985
588	0.0009295944341
589	0.0009294910086
590	0.0009288042219
591	0.0009195843651
592	0.0009108273133
593	0.0009025538005
594	0.0008666807091
595	0.0008466547644
596	0.0008454590806
597	0.0008433138075
598	0.0008431825293
599	0.000841996021
600	0.0008238946111
601	0.0008060463629
602	0.0008059306082
603	0.0007889767865
604	0.0007728708657
605	0.0007575702407
606	0.0007430346468
607	0.0007292265453
608	0.0007134149723
609	0.0007132807575
610	0.0007129914546
611	0.0006851128001
612	0.0006696161796
613	0.0006682785325
614	0.0006674693625
615	0.0006543253259
616	0.0006417455755
617	0.0006352878092
618	0.0006350466152
619	0.0006349777253
620	0.0006222287505
621	0.0006221524881
622	0.0006215924167
623	0.0006210132903
624	0.0006198734804
625	0.000619369043
626	0.0006132181391
627	0.0006073766484
628	0.0006073218667
629	0.0006071231081
630	0.0006070640944
631	0.0006069503394
632	0.000606901481
633	0.0005952498935
634	0.0005952086762
635	0.0005720573433
636	0.000550064608
637	0.0005389943793
638	0.0005284785847
639	0.0005184903124
640	0.0005150436067
641	0.0005054633671
642	0.0004991746289
643	0.0004891758906
644	0.0004891474294
645	0.0004891276554
646	0.0004891098772
647	0.000489082937
648	0.0004885460637
649	0.000487992418
650	0.000478253379
651	0.0004690017698
652	0.0004603394558
653	0.0004596259136
654	0.0004506015443
655	0.0004420303183
656	0.0004341046815
657	0.0004265753266
658	0.0004194224394
659	0.0004126271963
660	0.0004061717155
661	0.0004000390088
662	0.0003942129373
663	0.0003886794878
664	0.0003834261017
665	0.000378435428
666	0.0003698674721
667	0.000364825086
668	0.0003641882921
669	0.0003595589312
670	0.0003589796269
671	0.0003472500307
672	0.0003472273679
673	0.0003431284066
674	0.0003322295509
675	0.0003322125534
676	0.0003269026734
677	0.0003218587458
678	0.0003212940364
679	0.0003212792483
680	0.0003211404365
681	0.0003163807865
682	0.000311860883
683	0.0003116980117
